gene	log2FoldChange	padj
Gene731	0.237255011	0.297157472
Gene732	0.544539014	0.126951859
Gene733	0.392999619	0.23194183
Gene734	0.442167493	0.255420985
Gene735	0.157006347	6.41E-01
Gene736	0.146078409	0.582978026
Gene737	0.046940515	0.841951639
Gene738	0.161271768	0.525722058
Gene739	0.287477817	0.373087755
Gene740	0.174772182	0.470397756
Gene741	0.807989872	0.088331633
Gene742	0.476405111	0.466446626
Gene743	0.495355393	0.875464745
Gene744	0.29089588	0.250807413
Gene745	0	1
Gene746	0.408920319	0.412067658
Gene747	0.703836768	0.484209793
Gene748	1.21272285	0.043928807
Gene749	0.270132501	0.530004444
Gene750	0.934293484	0.000545274
Gene751	0.133289914	0.572654493
Gene752	0.122840866	0.792754552
Gene753	0.063818931	0.750376096
Gene754	0.561968359	0.022726811
Gene755	0.512968901	0.06103924
Gene756	0.277436238	0.511956686
Gene757	0.507307493	0.308494271
Gene758	0.234440657	0.735422596
Gene759	1.833179847	0.316376448
Gene760	0.056613979	0.828546339
Gene761	1.346534356	0.092981077
Gene762	0.178763206	0.539802388
Gene763	0.006789729	0.990651525
Gene764	0	1
Gene765	0.338842646	0.553873041
Gene766	0.024252165	0.906670299
Gene767	1.771176928	0.357329751
Gene768	1.12441565	0.062423834
Gene769	0.058519588	0.898310621
Gene770	0.317116248	0.592607113
Gene771	0	1
Gene772	0.239751501	0.795837166
Gene773	1.114035129	0.049225673
Gene774	0.7066526	0.150020452
Gene775	0.305713348	0.503552064
Gene776	0.621809153	0.763255717
Gene777	0.067816837	0.81495851
Gene778	0	1
Gene779	0.792280656	0.069889095
Gene780	0.147704172	0.712347162
Gene781	0.58741974	0.158364068
Gene782	0.067848261	0.780115449
Gene783	0.059348747	0.715632586
Gene784	0.105711716	0.6800271
Gene785	0.974270138	0.049581741
Gene786	0.155318404	0.640434423
Gene787	0.49606481	0.875284827
Gene788	0	1
Gene789	0.337527032	0.358791897
Gene790	0.234172727	0.568375833
Gene791	0.119459262	0.673127805
Gene792	0.374962467	0.446031571
Gene793	1.743543956	0.016135324
Gene794	0.299535054	4.33E-01
Gene795	0.203921379	0.64170338
Gene796	0.013045127	0.961688309
Gene797	0.165834643	0.677983631
Gene798	0.603829819	0.005971382
Gene799	1.232515722	0.095752036
Gene800	0.173641797	0.592426521
Gene801	2.062661334	0.427606719
Gene802	0	1
Gene803	0.207422321	0.758421866
Gene804	0.252413193	0.324925214
Gene805	0.042575456	0.918033047
Gene806	0.273844886	0.488877109
Gene807	0.466311743	0.262607233
Gene808	0.674472126	0.213629324
Gene809	0.082034559	0.609559076
Gene810	0.979731944	0.196734017
Gene811	0.452518495	0.687629666
Gene812	0.264880981	0.399117495
Gene813	0.650153711	0.164949549
Gene814	0.308387058	0.358540573
Gene815	1.116096644	0.023301057
Gene816	0.752133232	4.06E-01
Gene817	1.073133602	0.734212551
Gene818	1.936077184	0.161829316
Gene819	0	1
Gene820	0.387713778	0.186656393
Gene821	0.617820061	0.232052538
Gene822	0.05360968	0.985778041
Gene823	0.576269885	0.297893708
Gene824	0.937650541	0.377658027
Gene825	0.158980907	0.723589354
Gene826	0.517173931	0.328718717
Gene827	0.242293507	0.216373035
Gene828	0.171686402	0.643596379
Gene829	4.065509184	0.016549575
Gene830	0.495355393	0.875464745
Gene831	3.259624758	0.13354899
Gene832	0.209080108	0.424097861
